ParticipantID,ParticipantSex,ParticipantAge,VOICE_NUMBER,PITCH_MANIPULATION,HEALTH_F0,DISEASE_LIKELIHOOD_F0,ILLNESS_FREQUENCY_F0,ILLNESS_SEVERITY_F0,LTR_F0,STR_F0
36,1,44,8,2,8,5,5,5,3,3
47,1,27,1,1,4,3,4,7,4,7
47,1,27,2,1,1,2,3,5,5,8
47,1,27,3,1,8,1,2,4,7,6
47,1,27,4,1,6,3,7,6,6,7
47,1,27,5,2,6,2,6,6,1,3
47,1,27,6,2,3,2,7,3,2,4
47,1,27,7,2,6,2,6,6,7,8
47,1,27,8,2,5,2,3,4,4,6
57,1,39,1,1,8,4,7,7,4,9
57,1,39,2,1,8,2,2,7,8,9
57,1,39,3,1,5,5,2,3,9,8
57,1,39,4,1,3,2,2,8,4,8
57,1,39,5,2,2,2,6,9,1,2
57,1,39,6,2,1,8,8,8,2,8
57,1,39,7,2,6,6,3,8,3,7
57,1,39,8,2,4,8,2,5,5,6
59,1,28,1,1,5,5,5,7,4,5
59,1,28,2,1,6,4,4,3,7,7
59,1,28,3,1,8,1,1,7,5,3
59,1,28,4,1,7,1,4,7,5,6
59,1,28,5,2,7,6,5,7,6,6
59,1,28,6,2,8,4,4,6,6,6
59,1,28,7,2,9,1,1,8,8,8
59,1,28,8,2,7,1,5,4,6,5
80,1,45,1,1,6,1,3,7,4,6
80,1,45,2,1,2,1,1,6,5,7
80,1,45,3,1,9,1,1,8,3,2
80,1,45,4,1,6,2,4,2,4,7
80,1,45,5,2,1,3,4,3,3,5
80,1,45,6,2,2,7,7,3,2,5
80,1,45,7,2,8,7,1,9,5,5
80,1,45,8,2,1,9,9,1,3,3
85,1,22,1,1,8,3,3,7,4,2
85,1,22,2,1,2,8,6,3,7,9
85,1,22,3,1,9,1,3,7,9,8
85,1,22,4,1,9,2,2,9,9,9
85,1,22,5,2,7,2,6,7,4,3
85,1,22,6,2,2,7,8,2,2,3
85,1,22,7,2,8,6,4,7,9,2
85,1,22,8,2,9,4,4,8,8,8
7,1,44,1,1,4,3,6,4,5,5
7,1,44,2,1,4,4,4,7,4,4
7,1,44,3,1,7,4,2,8,7,6
7,1,44,4,1,4,6,5,8,6,6
7,1,44,5,2,4,6,3,6,4,5
7,1,44,6,2,3,6,3,4,2,3
7,1,44,7,2,9,2,7,7,5,4
7,1,44,8,2,7,3,4,3,5,5
14,1,30,1,1,5,5,7,5,5,5
14,1,30,2,1,5,6,7,3,9,9
14,1,30,3,1,5,6,3,8,3,3
14,1,30,4,1,3,7,6,5,1,6
14,1,30,5,2,6,4,4,5,5,5
14,1,30,6,2,4,6,6,7,9,7
14,1,30,7,2,9,5,1,7,5,6
14,1,30,8,2,7,4,6,6,2,5
18,1,34,1,1,7,4,3,2,5,6
18,1,34,2,1,4,7,8,7,3,2
18,1,34,3,1,9,3,1,9,9,9
18,1,34,4,1,7,2,3,8,9,4
18,1,34,5,2,2,7,5,4,3,3
18,1,34,6,2,5,7,7,2,2,1
18,1,34,7,2,7,2,2,7,6,5
18,1,34,8,2,4,6,5,6,6,7
21,1,29,1,1,5,4,5,4,5,5
21,1,29,2,1,5,6,5,5,5,5
21,1,29,3,1,5,5,5,7,4,5
21,1,29,4,1,6,5,1,5,5,5
21,1,29,5,2,5,7,5,5,5,5
21,1,29,6,2,3,7,5,3,5,5
21,1,29,7,2,3,4,5,3,6,5
21,1,29,8,2,6,7,5,3,3,5
29,1,29,1,1,2,6,2,3,5,7
29,1,29,2,1,3,3,3,5,7,8
29,1,29,3,1,8,2,2,2,8,8
29,1,29,4,1,6,6,6,2,7,5
29,1,29,5,2,2,8,6,6,3,3
29,1,29,6,2,4,7,7,3,3,2
29,1,29,7,2,8,2,2,4,6,6
29,1,29,8,2,5,6,6,4,2,6
56,1,26,1,1,6,6,6,6,5,4
56,1,26,2,1,5,4,5,6,6,4
56,1,26,3,1,4,6,7,6,7,6
56,1,26,4,1,6,6,7,7,4,4
56,1,26,5,2,7,7,8,6,5,5
56,1,26,6,2,7,6,6,7,6,6
56,1,26,7,2,5,6,4,6,6,6
56,1,26,8,2,4,7,6,4,6,7
68,1,37,1,1,8,5,5,3,5,5
68,1,37,2,1,8,1,7,4,8,9
68,1,37,3,1,8,1,1,7,5,5
68,1,37,4,1,8,1,1,7,5,5
68,1,37,5,2,8,7,1,7,5,6
68,1,37,6,2,8,3,7,4,9,9
68,1,37,7,2,9,1,1,9,6,5
68,1,37,8,2,8,3,1,9,6,5
76,1,39,1,1,6,6,6,5,5,5
76,1,39,2,1,8,3,4,7,8,9
76,1,39,3,1,9,5,4,7,6,8
76,1,39,4,1,6,5,5,5,5,1
76,1,39,5,2,6,4,2,5,3,2
76,1,39,6,2,8,5,6,4,8,3
76,1,39,7,2,8,3,2,8,5,6
76,1,39,8,2,3,6,6,3,1,3
2,1,45,1,1,2,6,8,1,6,6
2,1,45,2,1,3,8,5,2,3,7
2,1,45,3,1,8,3,2,9,7,9
2,1,45,4,1,8,3,3,8,7,8
2,1,45,5,2,2,8,9,2,4,5
2,1,45,6,2,1,9,8,1,3,2
2,1,45,7,2,4,2,4,6,3,7
2,1,45,8,2,8,2,3,5,6,4
5,1,39,1,1,2,3,3,5,6,6
5,1,39,2,1,7,4,2,4,6,5
5,1,39,3,1,8,6,5,6,5,7
5,1,39,4,1,6,5,3,6,6,6
5,1,39,5,2,8,8,2,6,6,7
5,1,39,6,2,8,5,2,5,5,4
5,1,39,7,2,8,8,4,5,5,5
5,1,39,8,2,8,2,3,8,4,5
12,1,46,1,1,6,6,6,7,6,6
12,1,46,2,1,3,6,7,3,5,5
12,1,46,3,1,5,1,4,7,3,3
12,1,46,4,1,7,6,7,7,3,2
12,1,46,5,2,8,4,4,6,7,6
12,1,46,6,2,1,1,7,3,6,4
12,1,46,7,2,7,5,2,8,5,2
12,1,46,8,2,4,5,4,8,4,2
16,1,21,1,1,8,2,4,8,6,7
16,1,21,2,1,7,3,6,5,8,7
16,1,21,3,1,8,3,2,8,8,9
16,1,21,4,1,7,3,3,6,6,8
16,1,21,5,2,6,4,4,7,6,7
16,1,21,6,2,5,7,6,4,7,7
16,1,21,7,2,7,5,5,5,5,8
16,1,21,8,2,6,4,5,5,3,5
39,1,42,1,1,6,7,4,6,6,6
39,1,42,2,1,5,5,5,5,6,5
39,1,42,3,1,6,6,4,6,4,5
39,1,42,4,1,5,4,5,5,3,3
39,1,42,5,2,6,4,5,5,6,6
39,1,42,6,2,4,7,5,6,5,4
39,1,42,7,2,3,5,4,6,4,6
39,1,42,8,2,5,5,6,5,6,6
63,1,25,1,1,4,8,7,7,6,6
63,1,25,2,1,4,8,7,6,5,7
63,1,25,3,1,5,5,7,4,7,8
63,1,25,4,1,5,8,7,4,6,7
63,1,25,5,2,6,3,5,6,5,5
63,1,25,6,2,6,5,9,6,5,4
63,1,25,7,2,6,8,6,5,5,5
63,1,25,8,2,3,7,9,5,4,5
26,1,54,1,1,9,1,1,9,8,8
26,1,54,2,1,4,2,2,7,8,4
26,1,54,3,1,9,1,1,9,9,8
26,1,54,4,1,9,1,1,9,8,8
26,1,54,5,2,7,2,2,4,5,5
26,1,54,6,2,3,8,8,2,3,2
26,1,54,7,2,9,5,1,8,6,4
26,1,54,8,2,8,6,6,8,5,5
43,1,49,1,1,9,4,5,9,8,9
43,1,49,2,1,8,7,2,7,7,7
43,1,49,3,1,9,3,5,7,4,7
43,1,49,4,1,8,1,4,5,8,6
43,1,49,5,2,7,7,6,5,4,8
43,1,49,6,2,6,9,3,2,3,7
43,1,49,7,2,7,6,8,4,5,8
43,1,49,8,2,9,7,4,7,5,4
65,1,45,1,1,9,1,1,7,8,8
65,1,45,2,1,9,1,1,4,8,5
65,1,45,3,1,4,1,1,5,8,7
65,1,45,4,1,6,5,1,5,7,1
65,1,45,5,2,4,1,5,5,1,1
65,1,45,6,2,3,8,8,3,1,1
65,1,45,7,2,4,5,6,6,1,1
65,1,45,8,2,4,6,6,4,1,1
67,1,32,1,1,9,9,5,1,9,9
67,1,32,2,1,5,6,1,5,5,9
67,1,32,3,1,9,6,5,1,9,9
67,1,32,4,1,9,8,5,1,9,9
67,1,32,5,2,5,9,9,1,5,9
67,1,32,6,2,5,1,9,5,5,5
67,1,32,7,2,9,9,5,5,5,9
67,1,32,8,2,5,3,9,1,5,5
